gameid,date,type,playerid,player,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,win,season,player_efficiency,normalized_pts
22300072,2023-10-25,regular,1630209,Omer Yurtseven,UTA,UTA,SAC,2,0,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0,2024,1,-0.9312624969671516
22300072,2023-10-25,regular,1631117,Walker Kessler,UTA,UTA,SAC,22,8,4,5,0.8,0,0,,0,0,,4,4,8,0,0,1,1,3,-14,0,2024,16,-0.024073565051944388
22300072,2023-10-25,regular,1631323,Simone Fontecchio,UTA,UTA,SAC,2,2,1,2,0.5,0,1,0.0,0,0,,1,0,1,1,0,0,0,0,2,0,2024,4,-1.3134607801278195
22300072,2023-10-25,regular,1641729,Brice Sensabaugh,UTA,UTA,SAC,2,0,0,2,0.0,0,0,,0,0,,1,1,2,0,0,0,0,0,2,0,2024,2,-1.1748124050098157
22300072,2023-10-25,regular,1628381,John Collins,UTA,UTA,SAC,31,15,6,11,0.5454545454545454,1,3,0.3333333333333333,2,2,1.0,3,8,11,2,1,0,0,3,-9,0,2024,29,-0.02097187085767536
22300072,2023-10-25,regular,203903,Jordan Clarkson,UTA,UTA,SAC,31,24,8,16,0.5,2,5,0.4,6,8,0.75,2,2,4,6,0,0,2,4,-4,0,2024,32,0.7701693894723717
22300072,2023-10-25,regular,1628374,Lauri Markkanen,UTA,UTA,SAC,32,19,6,15,0.4,2,6,0.3333333333333333,5,6,0.8333333333333334,2,8,10,1,2,0,1,1,-7,0,2024,31,-0.6502639760150841
22300072,2023-10-25,regular,1630534,Ochai Agbaji,UTA,UTA,SAC,19,5,2,6,0.3333333333333333,1,2,0.5,0,0,,0,3,3,0,0,0,0,2,-11,0,2024,8,-0.17136772012143534
22300072,2023-10-25,regular,203482,Kelly Olynyk,UTA,UTA,SAC,17,5,2,3,0.6666666666666666,0,0,,1,1,1.0,3,3,6,4,1,0,1,3,-5,0,2024,15,-0.8431151759307405
22300072,2023-10-25,regular,1641718,Keyonte George,UTA,UTA,SAC,19,8,3,5,0.6,1,3,0.3333333333333333,1,1,1.0,0,2,2,2,0,0,1,0,-9,0,2024,11,-0.6741445460582711
22300073,2023-10-25,regular,202681,Kyrie Irving,DAL,SAS,DAL,36,22,10,24,0.4166666666666667,1,8,0.125,1,1,1.0,0,2,2,6,1,0,2,3,1,1,2024,29,-0.46376658532362275
22300073,2023-10-25,regular,203501,Tim Hardaway Jr.,DAL,SAS,DAL,28,17,5,14,0.35714285714285715,3,10,0.3,4,4,1.0,2,4,6,4,1,0,1,0,9,1,2024,27,0.307538874243351
22300073,2023-10-25,regular,203552,Seth Curry,DAL,SAS,DAL,4,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,4,1,2024,0,-0.9783573234923897
22300073,2023-10-25,regular,1630182,Josh Green,DAL,SAS,DAL,30,11,3,5,0.6,2,2,1.0,3,4,0.75,2,0,2,1,1,0,0,4,4,1,2024,15,0.4812262278028994
22300073,2023-10-25,regular,1629029,Luka Doncic,DAL,SAS,DAL,34,33,13,25,0.52,3,11,0.2727272727272727,4,7,0.5714285714285714,1,12,13,10,2,0,4,1,4,1,2024,54,-0.09728240653871294
22300073,2023-10-25,regular,1629684,Grant Williams,DAL,SAS,DAL,35,17,6,11,0.5454545454545454,4,8,0.5,1,1,1.0,1,5,6,0,0,1,3,4,2,1,2024,21,0.9800907768910287
22300073,2023-10-25,regular,1627884,Derrick Jones Jr.,DAL,SAS,DAL,12,1,0,3,0.0,0,2,0.0,1,2,0.5,0,1,1,0,0,0,1,0,-1,1,2024,1,-1.2198893745174335
