gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season
22300149,2023-11-06,regular,1610612749,MIL,BKN,MIL,48.0,129.0,46.0,96.0,47.9,16.0,48.0,33.3,21.0,24.0,87.5,12.0,36.0,48.0,26.0,10.0,6.0,2.0,13.0,4.0,1.0,2024
22300150,2023-11-06,regular,1610612747,LAL,MIA,LAL,48.0,107.0,44.0,81.0,54.3,8.0,26.0,30.8,11.0,14.0,78.6,5.0,33.0,38.0,28.0,17.0,6.0,5.0,17.0,-1.0,0.0,2024
22300150,2023-11-06,regular,1610612748,MIA,MIA,LAL,48.0,108.0,41.0,88.0,46.6,12.0,37.0,32.4,14.0,16.0,87.5,11.0,33.0,44.0,30.0,18.0,11.0,4.0,14.0,1.0,1.0,2024
22300151,2023-11-06,regular,1610612746,LAC,NYK,LAC,48.0,97.0,36.0,73.0,49.3,11.0,32.0,34.4,14.0,16.0,87.5,7.0,24.0,31.0,21.0,22.0,8.0,3.0,15.0,-14.0,0.0,2024
22300151,2023-11-06,regular,1610612752,NYK,NYK,LAC,48.0,111.0,41.0,88.0,46.6,12.0,31.0,38.7,17.0,18.0,94.4,18.0,30.0,48.0,28.0,20.0,13.0,1.0,13.0,14.0,1.0,2024
22300152,2023-11-06,regular,1610612741,CHI,CHI,UTA,48.0,130.0,48.0,93.0,51.6,18.0,34.0,52.9,16.0,19.0,84.2,10.0,26.0,36.0,26.0,8.0,12.0,3.0,18.0,17.0,1.0,2024
22300152,2023-11-06,regular,1610612762,UTA,CHI,UTA,48.0,113.0,41.0,86.0,47.7,16.0,43.0,37.2,15.0,17.0,88.2,17.0,35.0,52.0,32.0,23.0,1.0,7.0,20.0,-17.0,0.0,2024
22300153,2023-11-06,regular,1610612745,HOU,HOU,SAC,48.0,122.0,43.0,75.0,57.3,15.0,31.0,48.4,21.0,27.0,77.8,5.0,34.0,39.0,28.0,11.0,8.0,4.0,19.0,25.0,1.0,2024
22300153,2023-11-06,regular,1610612758,SAC,HOU,SAC,48.0,97.0,36.0,81.0,44.4,14.0,40.0,35.0,11.0,20.0,55.0,12.0,22.0,34.0,22.0,15.0,5.0,2.0,22.0,-25.0,0.0,2024
22300154,2023-11-06,regular,1610612738,BOS,MIN,BOS,53.0,109.0,36.0,92.0,39.1,11.0,39.0,28.2,26.0,34.0,76.5,11.0,34.0,45.0,20.0,18.0,13.0,2.0,26.0,-5.0,0.0,2024
22300154,2023-11-06,regular,1610612750,MIN,MIN,BOS,53.0,114.0,44.0,85.0,51.8,13.0,37.0,35.1,13.0,25.0,52.0,6.0,39.0,45.0,26.0,24.0,7.0,5.0,26.0,5.0,1.0,2024
