gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season
22300032,2023-11-17,regular,1610612758,SAC,SAS,SAC,48.0,129.0,46.0,85.0,54.1,18.0,42.0,42.9,19.0,24.0,79.2,4.0,38.0,42.0,31.0,14.0,10.0,2.0,22.0,9.0,1.0,2024
22300032,2023-11-17,regular,1610612759,SAS,SAS,SAC,48.0,120.0,43.0,92.0,46.7,15.0,36.0,41.7,19.0,23.0,82.6,6.0,36.0,42.0,33.0,15.0,7.0,3.0,21.0,-9.0,0.0,2024
22300033,2023-11-17,regular,1610612741,CHI,CHI,ORL,48.0,97.0,35.0,79.0,44.3,10.0,29.0,34.5,17.0,22.0,77.3,5.0,29.0,34.0,19.0,16.0,10.0,3.0,21.0,-6.0,0.0,2024
22300033,2023-11-17,regular,1610612753,ORL,CHI,ORL,48.0,103.0,38.0,79.0,48.1,11.0,34.0,32.4,16.0,23.0,69.6,10.0,36.0,46.0,24.0,19.0,7.0,7.0,22.0,6.0,1.0,2024
22300034,2023-11-17,regular,1610612743,DEN,NOP,DEN,48.0,110.0,47.0,96.0,49.0,10.0,40.0,25.0,6.0,12.0,50.0,11.0,40.0,51.0,37.0,13.0,4.0,3.0,20.0,-5.0,0.0,2024
22300034,2023-11-17,regular,1610612740,NOP,NOP,DEN,48.0,115.0,46.0,88.0,52.3,12.0,23.0,52.2,11.0,21.0,52.4,4.0,35.0,39.0,33.0,11.0,8.0,5.0,13.0,5.0,1.0,2024
22300035,2023-11-17,regular,1610612756,PHX,UTA,PHX,48.0,131.0,45.0,86.0,52.3,18.0,33.0,54.5,23.0,26.0,88.5,5.0,31.0,36.0,35.0,9.0,5.0,4.0,22.0,3.0,1.0,2024
22300035,2023-11-17,regular,1610612762,UTA,UTA,PHX,48.0,128.0,43.0,85.0,50.6,16.0,36.0,44.4,26.0,31.0,83.9,10.0,29.0,39.0,27.0,8.0,3.0,10.0,23.0,-3.0,0.0,2024
22300036,2023-11-17,regular,1610612747,LAL,POR,LAL,48.0,107.0,40.0,81.0,49.4,12.0,29.0,41.4,15.0,22.0,68.2,11.0,33.0,44.0,27.0,18.0,11.0,6.0,16.0,12.0,1.0,2024
22300036,2023-11-17,regular,1610612757,POR,POR,LAL,48.0,95.0,36.0,89.0,40.4,10.0,37.0,27.0,13.0,18.0,72.2,19.0,29.0,48.0,17.0,19.0,11.0,2.0,17.0,-12.0,0.0,2024
22300037,2023-11-17,regular,1610612745,HOU,LAC,HOU,48.0,100.0,38.0,88.0,43.2,10.0,31.0,32.3,14.0,20.0,70.0,12.0,35.0,47.0,24.0,17.0,6.0,5.0,28.0,-6.0,0.0,2024
22300037,2023-11-17,regular,1610612746,LAC,LAC,HOU,48.0,106.0,36.0,83.0,43.4,13.0,34.0,38.2,21.0,30.0,70.0,8.0,39.0,47.0,22.0,14.0,10.0,7.0,19.0,6.0,1.0,2024
22300202,2023-11-18,regular,1610612766,CHA,CHA,NYK,48.0,108.0,40.0,82.0,48.8,17.0,35.0,48.6,11.0,13.0,84.6,4.0,32.0,36.0,29.0,13.0,5.0,5.0,22.0,-14.0,0.0,2024
22300202,2023-11-18,regular,1610612752,NYK,CHA,NYK,48.0,122.0,46.0,91.0,50.5,16.0,37.0,43.2,14.0,19.0,73.7,13.0,34.0,47.0,27.0,12.0,7.0,4.0,13.0,14.0,1.0,2024
22300203,2023-11-18,regular,1610612750,MIN,NOP,MIN,48.0,121.0,43.0,80.0,53.8,13.0,31.0,41.9,22.0,27.0,81.5,5.0,28.0,33.0,29.0,14.0,6.0,7.0,21.0,1.0,1.0,2024
22300203,2023-11-18,regular,1610612740,NOP,NOP,MIN,48.0,120.0,44.0,86.0,51.2,12.0,29.0,41.4,20.0,23.0,87.0,13.0,27.0,40.0,27.0,17.0,9.0,5.0,26.0,-1.0,0.0,2024
22300204,2023-11-18,regular,1610612741,CHI,CHI,MIA,48.0,102.0,36.0,81.0,44.4,16.0,45.0,35.6,14.0,19.0,73.7,10.0,34.0,44.0,24.0,13.0,9.0,6.0,22.0,5.0,1.0,2024
22300204,2023-11-18,regular,1610612748,MIA,CHI,MIA,48.0,97.0,33.0,77.0,42.9,12.0,36.0,33.3,19.0,23.0,82.6,5.0,29.0,34.0,23.0,15.0,9.0,0.0,18.0,-5.0,0.0,2024
22300205,2023-11-18,regular,1610612742,DAL,MIL,DAL,48.0,125.0,51.0,103.0,49.5,16.0,47.0,34.0,7.0,10.0,70.0,11.0,38.0,49.0,27.0,12.0,1.0,2.0,16.0,-7.0,0.0,2024
22300205,2023-11-18,regular,1610612749,MIL,MIL,DAL,48.0,132.0,49.0,94.0,52.1,17.0,45.0,37.8,17.0,20.0,85.0,5.0,36.0,41.0,29.0,7.0,8.0,3.0,16.0,7.0,1.0,2024
22300206,2023-11-18,regular,1610612763,MEM,SAS,MEM,48.0,120.0,40.0,86.0,46.5,11.0,33.0,33.3,29.0,36.0,80.6,12.0,33.0,45.0,23.0,14.0,7.0,3.0,25.0,12.0,1.0,2024
22300206,2023-11-18,regular,1610612759,SAS,SAS,MEM,48.0,108.0,36.0,83.0,43.4,15.0,40.0,37.5,21.0,26.0,80.8,12.0,28.0,40.0,26.0,15.0,5.0,9.0,28.0,-12.0,0.0,2024
22300207,2023-11-18,regular,1610612744,GSW,GSW,OKC,53.0,123.0,44.0,97.0,45.4,18.0,46.0,39.1,17.0,21.0,81.0,14.0,35.0,49.0,33.0,16.0,6.0,4.0,18.0,-7.0,0.0,2024
22300207,2023-11-18,regular,1610612760,OKC,GSW,OKC,53.0,130.0,52.0,100.0,52.0,8.0,23.0,34.8,18.0,20.0,90.0,9.0,38.0,47.0,26.0,12.0,8.0,7.0,16.0,7.0,1.0,2024
22300208,2023-11-19,regular,1610612751,BKN,BKN,PHI,48.0,99.0,38.0,81.0,46.9,11.0,28.0,39.3,12.0,16.0,75.0,9.0,36.0,45.0,24.0,15.0,2.0,8.0,14.0,-22.0,0.0,2024
22300208,2023-11-19,regular,1610612755,PHI,BKN,PHI,48.0,121.0,44.0,94.0,46.8,16.0,35.0,45.7,17.0,18.0,94.4,10.0,34.0,44.0,32.0,5.0,8.0,4.0,18.0,22.0,1.0,2024
22300209,2023-11-19,regular,1610612754,IND,IND,ORL,48.0,116.0,42.0,95.0,44.2,8.0,31.0,25.8,24.0,31.0,77.4,11.0,29.0,40.0,24.0,16.0,10.0,7.0,32.0,-12.0,0.0,2024
22300209,2023-11-19,regular,1610612753,ORL,IND,ORL,48.0,128.0,43.0,87.0,49.4,7.0,20.0,35.0,35.0,42.0,83.3,8.0,34.0,42.0,21.0,15.0,10.0,10.0,23.0,12.0,1.0,2024
22300210,2023-11-19,regular,1610612739,CLE,CLE,DEN,48.0,121.0,45.0,82.0,54.9,11.0,27.0,40.7,20.0,26.0,76.9,11.0,36.0,47.0,30.0,14.0,6.0,5.0,18.0,12.0,1.0,2024
22300210,2023-11-19,regular,1610612743,DEN,CLE,DEN,48.0,109.0,39.0,82.0,47.6,14.0,29.0,48.3,17.0,23.0,73.9,9.0,24.0,33.0,23.0,13.0,7.0,5.0,21.0,-12.0,0.0,2024
22300211,2023-11-19,regular,1610612765,DET,TOR,DET,48.0,113.0,39.0,83.0,47.0,9.0,26.0,34.6,26.0,35.0,74.3,7.0,34.0,41.0,25.0,17.0,3.0,3.0,23.0,-29.0,0.0,2024
22300211,2023-11-19,regular,1610612761,TOR,TOR,DET,48.0,142.0,55.0,102.0,53.9,14.0,36.0,38.9,18.0,29.0,62.1,12.0,35.0,47.0,44.0,8.0,10.0,5.0,23.0,29.0,1.0,2024
22300212,2023-11-19,regular,1610612742,DAL,DAL,SAC,48.0,113.0,41.0,88.0,46.6,12.0,34.0,35.3,19.0,26.0,73.1,11.0,29.0,40.0,23.0,10.0,8.0,2.0,15.0,-16.0,0.0,2024
22300212,2023-11-19,regular,1610612758,SAC,DAL,SAC,48.0,129.0,48.0,90.0,53.3,17.0,40.0,42.5,16.0,21.0,76.2,14.0,34.0,48.0,34.0,13.0,9.0,3.0,20.0,16.0,1.0,2024
22300213,2023-11-19,regular,1610612738,BOS,MEM,BOS,48.0,102.0,35.0,77.0,45.5,12.0,31.0,38.7,20.0,25.0,80.0,9.0,36.0,45.0,20.0,17.0,6.0,10.0,19.0,2.0,1.0,2024
22300213,2023-11-19,regular,1610612763,MEM,MEM,BOS,48.0,100.0,37.0,95.0,38.9,17.0,44.0,38.6,9.0,10.0,90.0,14.0,28.0,42.0,28.0,11.0,7.0,5.0,21.0,-2.0,0.0,2024
22300214,2023-11-19,regular,1610612756,PHX,UTA,PHX,58.0,140.0,50.0,102.0,49.0,18.0,45.0,40.0,22.0,26.0,84.6,11.0,33.0,44.0,36.0,18.0,11.0,13.0,28.0,3.0,1.0,2024
22300214,2023-11-19,regular,1610612762,UTA,UTA,PHX,58.0,137.0,48.0,115.0,41.7,15.0,46.0,32.6,26.0,32.0,81.3,27.0,32.0,59.0,27.0,19.0,11.0,5.0,27.0,-3.0,0.0,2024
22300215,2023-11-19,regular,1610612760,OKC,POR,OKC,48.0,134.0,49.0,81.0,60.5,22.0,36.0,61.1,14.0,14.0,100.0,10.0,33.0,43.0,28.0,18.0,8.0,3.0,18.0,43.0,1.0,2024
22300215,2023-11-19,regular,1610612757,POR,POR,OKC,48.0,91.0,34.0,85.0,40.0,9.0,34.0,26.5,14.0,21.0,66.7,13.0,18.0,31.0,21.0,19.0,10.0,2.0,15.0,-43.0,0.0,2024
22300216,2023-11-19,regular,1610612745,HOU,LAL,HOU,48.0,104.0,41.0,84.0,48.8,14.0,37.0,37.8,8.0,10.0,80.0,6.0,28.0,34.0,35.0,18.0,7.0,3.0,25.0,-1.0,0.0,2024
22300216,2023-11-19,regular,1610612747,LAL,LAL,HOU,48.0,105.0,39.0,83.0,47.0,6.0,29.0,20.7,21.0,29.0,72.4,10.0,32.0,42.0,26.0,18.0,13.0,1.0,13.0,1.0,1.0,2024
22300217,2023-11-20,regular,1610612738,BOS,CHA,BOS,53.0,118.0,42.0,97.0,43.3,16.0,50.0,32.0,18.0,28.0,64.3,11.0,37.0,48.0,19.0,15.0,6.0,8.0,15.0,-3.0,0.0,2024
22300217,2023-11-20,regular,1610612766,CHA,CHA,BOS,53.0,121.0,46.0,104.0,44.2,13.0,39.0,33.3,16.0,17.0,94.1,17.0,40.0,57.0,29.0,13.0,9.0,7.0,18.0,3.0,1.0,2024
22300218,2023-11-20,regular,1610612743,DEN,DET,DEN,48.0,107.0,40.0,87.0,46.0,11.0,28.0,39.3,16.0,21.0,76.2,11.0,32.0,43.0,30.0,14.0,7.0,8.0,17.0,4.0,1.0,2024
22300218,2023-11-20,regular,1610612765,DET,DET,DEN,48.0,103.0,36.0,81.0,44.4,7.0,21.0,33.3,24.0,26.0,92.3,11.0,32.0,43.0,21.0,18.0,7.0,5.0,24.0,-4.0,0.0,2024
22300219,2023-11-20,regular,1610612749,MIL,WAS,MIL,48.0,142.0,55.0,94.0,58.5,11.0,29.0,37.9,21.0,28.0,75.0,16.0,39.0,55.0,33.0,15.0,3.0,6.0,13.0,13.0,1.0,2024
22300219,2023-11-20,regular,1610612764,WAS,WAS,MIL,48.0,129.0,55.0,99.0,55.6,10.0,29.0,34.5,9.0,11.0,81.8,5.0,21.0,26.0,29.0,4.0,6.0,4.0,19.0,-13.0,0.0,2024
22300220,2023-11-20,regular,1610612741,CHI,CHI,MIA,48.0,100.0,37.0,81.0,45.7,11.0,37.0,29.7,15.0,16.0,93.8,7.0,29.0,36.0,21.0,11.0,2.0,7.0,16.0,-18.0,0.0,2024
22300220,2023-11-20,regular,1610612748,MIA,CHI,MIA,48.0,118.0,42.0,84.0,50.0,17.0,35.0,48.6,17.0,20.0,85.0,9.0,34.0,43.0,31.0,10.0,7.0,1.0,19.0,18.0,1.0,2024
22300221,2023-11-20,regular,1610612750,MIN,MIN,NYK,48.0,117.0,41.0,80.0,51.3,11.0,34.0,32.4,24.0,32.0,75.0,7.0,37.0,44.0,30.0,14.0,7.0,7.0,26.0,17.0,1.0,2024
22300221,2023-11-20,regular,1610612752,NYK,MIN,NYK,48.0,100.0,32.0,92.0,34.8,9.0,38.0,23.7,27.0,34.0,79.4,17.0,33.0,50.0,16.0,10.0,8.0,3.0,23.0,-17.0,0.0,2024
22300222,2023-11-20,regular,1610612740,NOP,NOP,SAC,48.0,129.0,50.0,92.0,54.3,12.0,28.0,42.9,17.0,21.0,81.0,10.0,45.0,55.0,38.0,12.0,8.0,6.0,19.0,36.0,1.0,2024
22300222,2023-11-20,regular,1610612758,SAC,NOP,SAC,48.0,93.0,33.0,87.0,37.9,11.0,45.0,24.4,16.0,24.0,66.7,9.0,27.0,36.0,27.0,13.0,4.0,5.0,21.0,-36.0,0.0,2024
22300223,2023-11-20,regular,1610612746,LAC,SAS,LAC,48.0,124.0,45.0,95.0,47.4,12.0,36.0,33.3,22.0,25.0,88.0,10.0,41.0,51.0,30.0,7.0,15.0,3.0,10.0,25.0,1.0,2024
22300223,2023-11-20,regular,1610612759,SAS,SAS,LAC,48.0,99.0,39.0,90.0,43.3,10.0,38.0,26.3,11.0,14.0,78.6,13.0,36.0,49.0,23.0,16.0,4.0,7.0,17.0,-25.0,0.0,2024
22300224,2023-11-20,regular,1610612744,GSW,GSW,HOU,48.0,121.0,36.0,77.0,46.8,21.0,43.0,48.8,28.0,33.0,84.8,8.0,35.0,43.0,26.0,8.0,3.0,1.0,21.0,5.0,1.0,2024
22300224,2023-11-20,regular,1610612745,HOU,GSW,HOU,48.0,116.0,44.0,95.0,46.3,13.0,41.0,31.7,15.0,19.0,78.9,15.0,33.0,48.0,28.0,8.0,6.0,3.0,24.0,-5.0,0.0,2024
22300038,2023-11-21,regular,1610612753,ORL,ORL,TOR,48.0,126.0,50.0,100.0,50.0,12.0,31.0,38.7,14.0,20.0,70.0,15.0,25.0,40.0,31.0,13.0,12.0,8.0,19.0,19.0,1.0,2024
22300038,2023-11-21,regular,1610612761,TOR,ORL,TOR,48.0,107.0,38.0,75.0,50.7,14.0,28.0,50.0,17.0,22.0,77.3,5.0,33.0,38.0,29.0,24.0,6.0,6.0,20.0,-19.0,0.0,2024
22300039,2023-11-21,regular,1610612737,ATL,ATL,IND,48.0,152.0,57.0,95.0,60.0,15.0,31.0,48.4,23.0,28.0,82.1,12.0,27.0,39.0,28.0,15.0,8.0,4.0,23.0,-5.0,0.0,2024
22300039,2023-11-21,regular,1610612754,IND,ATL,IND,48.0,157.0,57.0,94.0,60.6,22.0,45.0,48.9,21.0,28.0,75.0,7.0,22.0,29.0,35.0,14.0,7.0,11.0,25.0,5.0,1.0,2024
22300040,2023-11-21,regular,1610612739,CLE,PHI,CLE,53.0,122.0,46.0,94.0,48.9,9.0,25.0,36.0,21.0,25.0,84.0,14.0,42.0,56.0,33.0,16.0,9.0,4.0,21.0,3.0,1.0,2024
22300040,2023-11-21,regular,1610612755,PHI,PHI,CLE,53.0,119.0,40.0,96.0,41.7,11.0,35.0,31.4,28.0,34.0,82.4,14.0,30.0,44.0,19.0,14.0,12.0,8.0,25.0,-3.0,0.0,2024
22300041,2023-11-21,regular,1610612756,PHX,PHX,POR,48.0,120.0,43.0,76.0,56.6,7.0,17.0,41.2,27.0,28.0,96.4,11.0,27.0,38.0,26.0,15.0,8.0,8.0,18.0,13.0,1.0,2024
22300041,2023-11-21,regular,1610612757,POR,PHX,POR,48.0,107.0,38.0,87.0,43.7,14.0,31.0,45.2,17.0,20.0,85.0,12.0,18.0,30.0,20.0,13.0,8.0,3.0,20.0,-13.0,0.0,2024
22300042,2023-11-21,regular,1610612747,LAL,LAL,UTA,48.0,131.0,49.0,86.0,57.0,11.0,29.0,37.9,22.0,27.0,81.5,9.0,43.0,52.0,35.0,15.0,6.0,5.0,15.0,32.0,1.0,2024
22300042,2023-11-21,regular,1610612762,UTA,LAL,UTA,48.0,99.0,38.0,98.0,38.8,11.0,44.0,25.0,12.0,16.0,75.0,13.0,29.0,42.0,25.0,14.0,6.0,3.0,22.0,-32.0,0.0,2024
22300225,2023-11-22,regular,1610612766,CHA,CHA,WAS,48.0,117.0,43.0,91.0,47.3,16.0,37.0,43.2,15.0,21.0,71.4,11.0,38.0,49.0,27.0,13.0,6.0,4.0,15.0,3.0,1.0,2024
22300225,2023-11-22,regular,1610612764,WAS,CHA,WAS,48.0,114.0,44.0,97.0,45.4,11.0,32.0,34.4,15.0,18.0,83.3,11.0,36.0,47.0,26.0,10.0,7.0,3.0,18.0,-3.0,0.0,2024
22300226,2023-11-22,regular,1610612743,DEN,ORL,DEN,48.0,119.0,44.0,93.0,47.3,15.0,35.0,42.9,16.0,21.0,76.2,17.0,25.0,42.0,29.0,12.0,6.0,2.0,25.0,-5.0,0.0,2024
22300226,2023-11-22,regular,1610612753,ORL,ORL,DEN,48.0,124.0,44.0,81.0,54.3,10.0,29.0,34.5,26.0,30.0,86.7,11.0,30.0,41.0,27.0,12.0,9.0,7.0,21.0,5.0,1.0,2024
22300227,2023-11-22,regular,1610612737,ATL,ATL,BKN,53.0,147.0,51.0,116.0,44.0,18.0,49.0,36.7,27.0,29.0,93.1,22.0,36.0,58.0,24.0,14.0,10.0,8.0,18.0,2.0,1.0,2024
22300227,2023-11-22,regular,1610612751,BKN,ATL,BKN,53.0,145.0,55.0,113.0,48.7,15.0,35.0,42.9,20.0,24.0,83.3,22.0,37.0,59.0,28.0,16.0,8.0,6.0,24.0,-2.0,0.0,2024
22300228,2023-11-22,regular,1610612738,BOS,BOS,MIL,48.0,119.0,44.0,84.0,52.4,17.0,42.0,40.5,14.0,17.0,82.4,4.0,39.0,43.0,27.0,15.0,3.0,5.0,15.0,3.0,1.0,2024
22300228,2023-11-22,regular,1610612749,MIL,BOS,MIL,48.0,116.0,45.0,101.0,44.6,13.0,34.0,38.2,13.0,17.0,76.5,13.0,34.0,47.0,23.0,9.0,9.0,2.0,19.0,-3.0,0.0,2024
22300229,2023-11-22,regular,1610612739,CLE,CLE,MIA,48.0,96.0,36.0,77.0,46.8,14.0,30.0,46.7,10.0,14.0,71.4,7.0,27.0,34.0,25.0,19.0,5.0,6.0,17.0,-33.0,0.0,2024
22300229,2023-11-22,regular,1610612748,MIA,CLE,MIA,48.0,129.0,46.0,88.0,52.3,20.0,35.0,57.1,17.0,21.0,81.0,10.0,31.0,41.0,30.0,12.0,11.0,7.0,19.0,33.0,1.0,2024
22300230,2023-11-22,regular,1610612754,IND,IND,TOR,48.0,131.0,50.0,91.0,54.9,18.0,39.0,46.2,13.0,16.0,81.3,5.0,26.0,31.0,33.0,15.0,10.0,6.0,24.0,-1.0,0.0,2024
22300230,2023-11-22,regular,1610612761,TOR,IND,TOR,48.0,132.0,48.0,90.0,53.3,11.0,27.0,40.7,25.0,30.0,83.3,13.0,33.0,46.0,26.0,19.0,7.0,3.0,15.0,1.0,1.0,2024
22300231,2023-11-22,regular,1610612745,HOU,HOU,MEM,48.0,111.0,40.0,92.0,43.5,14.0,43.0,32.6,17.0,20.0,85.0,6.0,43.0,49.0,22.0,7.0,6.0,6.0,22.0,20.0,1.0,2024
22300231,2023-11-22,regular,1610612763,MEM,HOU,MEM,48.0,91.0,27.0,82.0,32.9,7.0,32.0,21.9,30.0,35.0,85.7,9.0,37.0,46.0,17.0,9.0,3.0,7.0,19.0,-20.0,0.0,2024
22300232,2023-11-22,regular,1610612750,MIN,MIN,PHI,48.0,112.0,43.0,89.0,48.3,10.0,26.0,38.5,16.0,24.0,66.7,10.0,38.0,48.0,28.0,13.0,10.0,8.0,21.0,13.0,1.0,2024
22300232,2023-11-22,regular,1610612755,PHI,MIN,PHI,48.0,99.0,34.0,87.0,39.1,7.0,32.0,21.9,24.0,30.0,80.0,16.0,32.0,48.0,21.0,15.0,9.0,12.0,23.0,-13.0,0.0,2024
22300233,2023-11-22,regular,1610612740,NOP,NOP,SAC,48.0,117.0,41.0,87.0,47.1,7.0,30.0,23.3,28.0,37.0,75.7,13.0,35.0,48.0,23.0,10.0,10.0,2.0,28.0,5.0,1.0,2024
22300233,2023-11-22,regular,1610612758,SAC,NOP,SAC,48.0,112.0,34.0,76.0,44.7,15.0,44.0,34.1,29.0,35.0,82.9,4.0,34.0,38.0,22.0,16.0,3.0,1.0,25.0,-5.0,0.0,2024
22300234,2023-11-22,regular,1610612741,CHI,OKC,CHI,48.0,102.0,34.0,88.0,38.6,17.0,44.0,38.6,17.0,17.0,100.0,11.0,27.0,38.0,22.0,12.0,7.0,2.0,26.0,-14.0,0.0,2024
22300234,2023-11-22,regular,1610612760,OKC,OKC,CHI,48.0,116.0,37.0,75.0,49.3,11.0,29.0,37.9,31.0,38.0,81.6,11.0,34.0,45.0,24.0,14.0,4.0,12.0,17.0,14.0,1.0,2024
22300235,2023-11-22,regular,1610612746,LAC,SAS,LAC,48.0,109.0,39.0,85.0,45.9,9.0,28.0,32.1,22.0,29.0,75.9,11.0,39.0,50.0,29.0,16.0,10.0,3.0,23.0,7.0,1.0,2024
22300235,2023-11-22,regular,1610612759,SAS,SAS,LAC,48.0,102.0,35.0,91.0,38.5,11.0,38.0,28.9,21.0,23.0,91.3,10.0,34.0,44.0,26.0,14.0,8.0,6.0,24.0,-7.0,0.0,2024
22300236,2023-11-22,regular,1610612744,GSW,PHX,GSW,48.0,115.0,43.0,90.0,47.8,10.0,32.0,31.3,19.0,29.0,65.5,11.0,32.0,43.0,29.0,16.0,10.0,3.0,34.0,-8.0,0.0,2024
22300236,2023-11-22,regular,1610612756,PHX,PHX,GSW,48.0,123.0,34.0,76.0,44.7,11.0,28.0,39.3,44.0,52.0,84.6,11.0,32.0,43.0,22.0,15.0,9.0,8.0,22.0,8.0,1.0,2024
22300237,2023-11-22,regular,1610612757,POR,POR,UTA,48.0,121.0,47.0,92.0,51.1,17.0,39.0,43.6,10.0,15.0,66.7,14.0,23.0,37.0,31.0,14.0,9.0,6.0,21.0,16.0,1.0,2024
22300237,2023-11-22,regular,1610612762,UTA,POR,UTA,48.0,105.0,37.0,79.0,46.8,10.0,31.0,32.3,21.0,26.0,80.8,14.0,30.0,44.0,25.0,24.0,7.0,3.0,13.0,-16.0,0.0,2024
22300238,2023-11-22,regular,1610612742,DAL,LAL,DAL,48.0,104.0,38.0,96.0,39.6,16.0,50.0,32.0,12.0,16.0,75.0,11.0,37.0,48.0,21.0,4.0,5.0,4.0,18.0,3.0,1.0,2024
22300238,2023-11-22,regular,1610612747,LAL,LAL,DAL,48.0,101.0,39.0,84.0,46.4,11.0,29.0,37.9,12.0,19.0,63.2,9.0,42.0,51.0,26.0,13.0,1.0,2.0,17.0,-3.0,0.0,2024
22300043,2023-11-24,regular,1610612738,BOS,ORL,BOS,48.0,96.0,31.0,76.0,40.8,7.0,29.0,24.1,27.0,37.0,73.0,4.0,27.0,31.0,17.0,15.0,10.0,4.0,18.0,-17.0,0.0,2024
22300043,2023-11-24,regular,1610612753,ORL,ORL,BOS,48.0,113.0,43.0,85.0,50.6,11.0,28.0,39.3,16.0,22.0,72.7,13.0,35.0,48.0,23.0,18.0,5.0,3.0,28.0,17.0,1.0,2024
22300044,2023-11-24,regular,1610612763,MEM,MEM,PHX,48.0,89.0,37.0,80.0,46.3,9.0,33.0,27.3,6.0,10.0,60.0,6.0,29.0,35.0,22.0,15.0,6.0,2.0,22.0,-21.0,0.0,2024
22300044,2023-11-24,regular,1610612756,PHX,MEM,PHX,48.0,110.0,39.0,76.0,51.3,11.0,31.0,35.5,21.0,28.0,75.0,7.0,34.0,41.0,22.0,13.0,10.0,6.0,12.0,21.0,1.0,2024
22300045,2023-11-24,regular,1610612748,MIA,NYK,MIA,48.0,98.0,34.0,87.0,39.1,10.0,37.0,27.0,20.0,21.0,95.2,10.0,31.0,41.0,20.0,11.0,11.0,0.0,19.0,-2.0,0.0,2024
22300045,2023-11-24,regular,1610612752,NYK,NYK,MIA,48.0,100.0,39.0,81.0,48.1,10.0,29.0,34.5,12.0,18.0,66.7,6.0,40.0,46.0,21.0,19.0,7.0,2.0,14.0,2.0,1.0,2024
22300046,2023-11-24,regular,1610612741,CHI,TOR,CHI,48.0,108.0,42.0,82.0,51.2,12.0,27.0,44.4,12.0,19.0,63.2,9.0,28.0,37.0,20.0,13.0,5.0,2.0,20.0,-13.0,0.0,2024
22300046,2023-11-24,regular,1610612761,TOR,TOR,CHI,48.0,121.0,44.0,83.0,53.0,13.0,39.0,33.3,20.0,27.0,74.1,13.0,27.0,40.0,32.0,14.0,8.0,6.0,14.0,13.0,1.0,2024
22300047,2023-11-24,regular,1610612765,DET,IND,DET,48.0,113.0,43.0,90.0,47.8,7.0,18.0,38.9,20.0,24.0,83.3,14.0,29.0,43.0,22.0,14.0,6.0,11.0,18.0,-23.0,0.0,2024
22300047,2023-11-24,regular,1610612754,IND,IND,DET,48.0,136.0,49.0,102.0,48.0,16.0,38.0,42.1,22.0,24.0,91.7,15.0,25.0,40.0,24.0,9.0,7.0,8.0,21.0,23.0,1.0,2024
22300048,2023-11-24,regular,1610612743,DEN,HOU,DEN,48.0,86.0,32.0,94.0,34.0,7.0,30.0,23.3,15.0,21.0,71.4,16.0,30.0,46.0,17.0,15.0,8.0,4.0,14.0,-19.0,0.0,2024
22300048,2023-11-24,regular,1610612745,HOU,HOU,DEN,48.0,105.0,40.0,82.0,48.8,12.0,29.0,41.4,13.0,15.0,86.7,6.0,43.0,49.0,25.0,14.0,9.0,9.0,21.0,19.0,1.0,2024
22300049,2023-11-24,regular,1610612749,MIL,MIL,WAS,48.0,131.0,48.0,92.0,52.2,9.0,31.0,29.0,26.0,33.0,78.8,10.0,40.0,50.0,28.0,9.0,6.0,6.0,22.0,3.0,1.0,2024
22300049,2023-11-24,regular,1610612764,WAS,MIL,WAS,48.0,128.0,48.0,100.0,48.0,15.0,37.0,40.5,17.0,21.0,81.0,12.0,34.0,46.0,29.0,9.0,3.0,4.0,24.0,-3.0,0.0,2024
22300050,2023-11-24,regular,1610612750,MIN,MIN,SAC,48.0,111.0,36.0,82.0,43.9,12.0,33.0,36.4,27.0,29.0,93.1,10.0,34.0,44.0,25.0,18.0,6.0,9.0,18.0,-13.0,0.0,2024
22300050,2023-11-24,regular,1610612758,SAC,MIN,SAC,48.0,124.0,49.0,100.0,49.0,17.0,35.0,48.6,9.0,11.0,81.8,14.0,32.0,46.0,25.0,13.0,7.0,4.0,19.0,13.0,1.0,2024
22300051,2023-11-24,regular,1610612744,GSW,GSW,SAS,48.0,118.0,40.0,81.0,49.4,19.0,42.0,45.2,19.0,24.0,79.2,7.0,34.0,41.0,35.0,24.0,7.0,2.0,21.0,6.0,1.0,2024
22300051,2023-11-24,regular,1610612759,SAS,GSW,SAS,48.0,112.0,45.0,100.0,45.0,12.0,47.0,25.5,10.0,12.0,83.3,15.0,31.0,46.0,28.0,20.0,10.0,3.0,18.0,-6.0,0.0,2024
22300052,2023-11-24,regular,1610612746,LAC,LAC,NOP,48.0,106.0,42.0,92.0,45.7,11.0,37.0,29.7,11.0,17.0,64.7,8.0,31.0,39.0,27.0,11.0,11.0,8.0,24.0,-10.0,0.0,2024
22300052,2023-11-24,regular,1610612740,NOP,LAC,NOP,48.0,116.0,43.0,88.0,48.9,10.0,24.0,41.7,20.0,27.0,74.1,12.0,38.0,50.0,26.0,15.0,6.0,5.0,19.0,10.0,1.0,2024
22300239,2023-11-25,regular,1610612760,OKC,OKC,PHI,48.0,123.0,43.0,98.0,43.9,16.0,43.0,37.2,21.0,26.0,80.8,13.0,25.0,38.0,29.0,4.0,3.0,3.0,27.0,-4.0,0.0,2024
