gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season,home_game,normalized_pts,win_encoded
22300110,2023-10-30,regular,1610612743,DEN,DEN,UTA,48.0,110.0,47.0,84.0,0.5595238095238095,9.0,28.0,0.32142857142857145,7.0,17.0,0.4117647058823529,7.0,36.0,43.0,32.0,13.0,4.0,8.0,14.0,8.0,1.0,2024,1,-0.3927557915261302,1
22300110,2023-10-30,regular,1610612762,UTA,DEN,UTA,48.0,102.0,42.0,98.0,0.42857142857142855,11.0,37.0,0.2972972972972973,7.0,15.0,0.4666666666666667,17.0,34.0,51.0,30.0,13.0,6.0,2.0,21.0,-8.0,0.0,2024,0,-1.0689516216958126,0
22300111,2023-10-30,regular,1610612747,LAL,LAL,ORL,48.0,106.0,42.0,79.0,0.5316455696202531,8.0,27.0,0.2962962962962963,14.0,18.0,0.7777777777777778,3.0,37.0,40.0,28.0,16.0,7.0,10.0,17.0,3.0,1.0,2024,1,-0.9630985077084367,1
22300111,2023-10-30,regular,1610612753,ORL,LAL,ORL,48.0,103.0,38.0,95.0,0.4,14.0,35.0,0.4,13.0,18.0,0.7222222222222222,12.0,32.0,44.0,28.0,11.0,10.0,3.0,22.0,-3.0,0.0,2024,0,-0.6664500929744961,0
22300112,2023-10-31,regular,1610612739,CLE,CLE,NYK,48.0,91.0,36.0,92.0,0.391304347826087,10.0,38.0,0.2631578947368421,9.0,12.0,0.75,14.0,32.0,46.0,19.0,15.0,6.0,6.0,19.0,-18.0,0.0,2024,1,-1.9842259685659478,0
22300112,2023-10-31,regular,1610612752,NYK,CLE,NYK,48.0,109.0,38.0,86.0,0.4418604651162791,13.0,34.0,0.38235294117647056,20.0,25.0,0.8,12.0,36.0,48.0,18.0,14.0,9.0,1.0,17.0,18.0,1.0,2024,0,-0.31036845266164315,1
22300113,2023-10-31,regular,1610612756,PHX,PHX,SAS,48.0,114.0,42.0,83.0,0.5060240963855421,18.0,39.0,0.46153846153846156,12.0,15.0,0.8,6.0,37.0,43.0,29.0,19.0,8.0,7.0,18.0,-1.0,0.0,2024,1,-0.21217950262943333,0
22300113,2023-10-31,regular,1610612759,SAS,PHX,SAS,48.0,115.0,43.0,92.0,0.4673913043478261,14.0,37.0,0.3783783783783784,15.0,20.0,0.75,8.0,29.0,37.0,25.0,12.0,10.0,9.0,17.0,1.0,1.0,2024,0,0.23892586476985558,1
22300114,2023-10-31,regular,1610612746,LAC,LAC,ORL,48.0,118.0,44.0,89.0,0.4943820224719101,14.0,31.0,0.45161290322580644,16.0,23.0,0.6956521739130435,9.0,35.0,44.0,29.0,16.0,10.0,4.0,26.0,16.0,1.0,2024,1,0.18366435962413966,1
22300114,2023-10-31,regular,1610612753,ORL,LAC,ORL,48.0,102.0,38.0,81.0,0.4691358024691358,7.0,30.0,0.23333333333333334,19.0,33.0,0.5757575757575758,7.0,33.0,40.0,23.0,16.0,9.0,3.0,24.0,-16.0,0.0,2024,0,-0.7557456936671573,0
